State;House_id;Weight;House_relation;Sex;Age;Race;Marriage;Education;Ancestry;Language;Employment_status;Traveltime;Industry;Occupation;Hours;Weeks;Salary;Income;Earnings
Arizona;3599574;0016;03;2;10;1;5;01;999;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3599574;0016;03;1;12;1;5;03;999;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3604541;0021;01;1;40;1;5;09;050;0;1;000;857;422;40;50;019000;0027000;0027000
Arizona;3604541;0016;03;1;09;8;5;02;211;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3604541;0016;03;1;02;8;5;00;211;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3604541;0016;19;2;37;8;5;09;210;1;6;000;797;035;50;40;026000;0026000;0026000
Arizona;3607330;0016;01;1;27;1;5;11;032;0;3;000;738;111;00;00;000000;0000000;0000000
Arizona;3607330;0013;18;1;31;1;5;13;291;1;1;015;057;400;50;40;013200;0013200;0013200
Arizona;3607772;0027;01;2;28;8;3;09;210;2;1;030;929;423;35;20;000000;0006000;0006000
Arizona;3607772;0013;03;1;00;8;5;00;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3607772;0027;19;2;26;8;4;11;210;2;1;020;077;626;48;40;000000;0014000;0014000
Arizona;3607913;0021;01;2;26;1;5;13;022;0;1;040;558;014;50;45;016000;0016500;0016500
Arizona;3611159;0032;01;1;53;1;1;04;999;4;6;000;077;626;32;40;010300;0020300;0010300
Arizona;3611159;0037;02;2;49;1;1;04;999;4;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3611159;0032;12;1;46;1;1;09;999;3;6;000;077;623;36;40;030000;0030000;0030000
Arizona;3614827;0041;23;2;18;2;5;10;599;0;6;000;717;472;01;10;000100;0000100;0000100
Arizona;3619599;0022;01;1;20;8;5;05;210;2;6;000;077;633;12;40;003000;0003000;0003000
Arizona;3619763;0019;01;1;34;8;1;09;210;2;1;005;469;475;52;40;012000;0012000;0012000
Arizona;3619763;0013;02;2;34;8;1;11;210;2;3;000;727;080;00;00;000000;0000000;0000000
Arizona;3621486;0016;01;1;21;1;5;09;210;1;6;000;479;712;52;48;012600;0012600;0012600
Arizona;3621486;0029;03;2;01;5;5;00;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3621486;0022;14;2;87;5;1;01;210;0;6;000;000;000;00;00;000000;0000980;0000000
Arizona;3621486;0018;19;2;22;5;5;09;210;1;6;000;707;492;01;40;000470;0000470;0000470
Arizona;3621486;0024;17;1;93;5;1;01;210;0;6;000;000;000;00;00;000000;0005100;0000000
Arizona;3623724;0029;01;1;63;1;5;13;088;2;1;005;777;425;30;16;000000;0004800;0004800
Arizona;3624037;0011;01;1;53;1;1;13;087;0;1;020;419;146;52;45;070000;0075000;0075000
Arizona;3624037;0021;02;2;52;1;1;13;088;0;1;015;819;080;52;50;028000;0028000;0028000
Arizona;3626595;0016;01;1;63;1;1;10;233;1;6;000;000;000;00;00;000000;0011000;0000000
Arizona;3626595;0016;02;2;36;1;1;11;223;3;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3626595;0016;03;1;06;1;5;02;290;3;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3626595;0016;03;1;05;1;5;01;290;3;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3626595;0016;03;1;02;1;5;00;290;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3626595;0019;21;1;57;1;2;09;999;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3629847;0008;01;1;38;1;1;04;212;4;3;000;077;626;48;40;012000;0012000;0012000
Arizona;3629847;0013;02;2;33;1;1;04;212;4;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3629847;0016;03;2;12;1;5;03;212;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3629847;0013;03;2;11;1;5;03;212;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3629847;0013;03;1;08;1;5;02;212;3;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3629847;0011;03;2;01;1;5;00;212;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3644807;0016;01;2;66;1;2;03;210;3;1;030;769;422;52;40;010000;0010000;0010000
Arizona;3647426;0027;01;1;57;1;1;14;032;0;1;004;786;001;52;60;090000;0090200;0090000
Arizona;3647426;0024;02;2;52;1;1;13;190;0;1;004;786;232;36;40;039000;0039200;0039000
Arizona;3650399;0022;01;1;67;8;1;08;210;2;1;025;507;913;50;40;017800;0021300;0017800
Arizona;3650399;0018;02;2;51;8;1;03;210;3;3;000;916;422;36;40;007300;0007300;0007300
Arizona;3650399;0022;03;2;23;8;5;09;210;1;6;000;868;411;40;40;006600;0006600;0006600
Arizona;3656360;0021;01;2;77;1;3;11;999;0;6;000;000;000;00;00;000000;0012900;0000000
Arizona;3656360;0021;21;1;58;1;3;08;051;0;6;000;000;000;00;00;000000;0015650;0000000
Arizona;3657754;0022;01;2;38;1;5;13;190;0;3;000;758;313;52;30;027800;0028050;0027800
Arizona;3657754;0013;04;1;14;1;5;04;032;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3657754;0026;21;1;34;1;5;09;026;0;3;000;077;624;00;00;000000;0000100;0000000
Arizona;3658957;0041;23;2;19;9;5;11;811;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3661131;0016;01;1;66;1;1;12;088;0;6;000;000;000;00;00;000000;0025200;0000000
